Mass,Radius,Surface Gravity,Surface Temp,Stellar Temp,Stellar Flux,Metallicity [Fe/H],Semi-major Axis,Eccentricity,Rotation Period,Distance,Transit Duration,ESI,Habitability
1,1,1,288,5778,1,0,1,0.0167,1,0,0,1,0.988383728088359
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.651000288233774
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.224965079233275
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.0587000599218813
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.34633152788442
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.827439694774876
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.498802264659844
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.743425011542079
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.910494545047133
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.866290110206762
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.787278422703169
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.276402575268759
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.426987130938256
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.154028961265269
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.597761694185405
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.720593631571271
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.686872272272327
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.971418309917916
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.508444603996933
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.552926947196861
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.338851122298053
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.0082260896764762
